Group	Species
MOLLUSCA	Alexandromenia_crassa
MOLLUSCA	Acanthochitona_crinita
ARTHROPODA	Aoraki_denticulata
MOLLUSCA	Architeuthis_dux
ARTHROPODA	Anchistropus_emarginatus
MOLLUSCA	Apodomenia_enigmatica
MOLLUSCA	Antalis_entalis
ANNELIDA	Aeolosoma_sp.
ARTHROPODA	Atelura_formicaria
ANNELIDA	Amphiduros_fuscescens
ARTHROPODA	Anopheles_gambiae
MOLLUSCA	Acanthopleura_gemmata
CRANIATA	Arapaima_gigas
ARTHROPODA	Anopsobius_giribeti
ARTHROPODA	Alipes_grandidieri
MOLLUSCA	Anentome_helena
MOLLUSCA	Achatina/Lissachatina_immaculata
ARTHROPODA	Amphizoa_insolens
ARTHROPODA	Aposthonia_japonica
NEMERTEA	Amphiporus_lactifloreus
BRYOZOA	Alcyonidium_sp._KMK-2022
NEMATODA	Allodorylaimus
ARTHROPODA	Anurida_maritima
CRANIATA	Amia_calva
ARTHROPODA	Apis_mellifera
ARTHROPODA	Anopheles_merus
CRANIATA	Astyanax_mexicanus
ARTHROPODA	Agathotanais_misakiensis
CRANIATA	Ameiurus_melas
MOLLUSCA	Alderia_modesta
CRANIATA	Amblyraja_radiata
MOLLUSCA	Amphimeniidae_sp.
NEMATODA	Acrobeloides_nanus
ARTHROPODA	Armadillidium_nasatum
ARTHROPODA	Acropsopilio_neozelandiae
NEMATODA	Anaplectus_granulosus
CRANIATA	Anguilla_anguilla
ARTHROPODA	Anoplodactylus_insignis
ECHINODERMATA	Anneissia_japonica
ARTHROPODA	Acopauropus_ornatus
ANNELIDA	Anamobaea_orstedii
MOLLUSCA	Aphanoconia_osumiense
ANNELIDA	Abarenicola_pacifica
KINORHYNCHA	Antygomonas_paulae
ARTHROPODA	Acyrthosiphon_pisum
MOLLUSCA	Aplysiopsis_enteromorphae
ARTHROPODA	Apolpium_sp._MCZ_144360
ANNELIDA	Alvinella_pompejana
MOLLUSCA	Argopecten_purpuratus
PORIFERA	Amphimedon_queenslandica
ARTHROPODA	Argyroneta_aquatica
ARTHROPODA	Archoleptoneta_schusteri
ARTHROPODA	Apocyclops_royi
ECHINODERMATA	Asterias_rubens
CRANIATA	Acipenser_ruthenus
MOLLUSCA	Arion_vulgaris
ARTHROPODA	Artemia_salina
ARTHROPODA	Argulus_siamensis
CRANIATA	Alligator_sinensis
CRANIATA	Atractosteus_spatula
CNIDARIA	Actinia_tenebrosa
CRANIATA	Anabas_testudineus
ARTHROPODA	Anaulaciulus_tonginus
CRANIATA	Ascaphus_truei
ANNELIDA	Aulodrilus_japonicus
ROTIFERA	Adineta_vaga
MOLLUSCA	Ambigolimax_valentianus
ANNELIDA	Alitta_virens
ARTHROPODA	Armadillidium_vulgare
ARTHROPODA	Baetis_sp._AD-2013
ENTOPROCTA	Barentsia_gracilis
ARTHROPODA	Baculentulus_morikawai
ANNELIDA	Bathydrilus_sp._DSW-2020
ARTHROPODA	Blaberus_atropos
MOLLUSCA	Batillaria_attramentaria
CEPHALOCHORDATA	Branchiostoma_belcheri
CRANIATA	Bombina_bombina
ARTHROPODA	Bradysia_coprophila
CEPHALOCHORDATA	Branchiostoma_floridae
CRANIATA	Bufo_gargarizans
ARTHROPODA	Blattella_germanica
MOLLUSCA	Biomphalaria_glabrata
ARTHROPODA	Brotheas_granulatus
ARTHROPODA	Boreus_hyemalis
ARTHROPODA	Bathynomus_jamesi
PLATYHELMINTHES	Bipalium_kewense
CEPHALOCHORDATA	Branchiostoma_lanceolatum
ARTHROPODA	Birgus_latro
ARTHROPODA	Brachycybe_lecontii
ARTHROPODA	Branchinecta_lindahli
MOLLUSCA	Bayerotrochus_midas
ARTHROPODA	Bombyx_mori
BRYOZOA	Bugula_neritina
NEMATODA	Bursaphelenchus_okinawaensis
CRANIATA	Boleophthalmus_pectinirostris
MOLLUSCA	Bathymodiolus/Gigantidas_platifrons
ROTIFERA	Brachionus_plicatilis
CRANIATA	Brachycephalus_rotenbergae
ARTHROPODA	Bathycallisoma_schellenbergi
PLATYHELMINTHES	Bothrioplana_semperi
MOLLUSCA	Bithynia_siamensis_goniomphalos
MOLLUSCA	Bradybaena_similaris
CRANIATA	Bostrychus_sinensis
CRANIATA	Betta_splendens
ARTHROPODA	Blomia_tropicalis
NEMERTEA	Baseodiscus_unicolor
ANNELIDA	Bothrioneurum_vejdovskyanum
ANNELIDA	Boccardia_wellingtonensis
ARTHROPODA	Bochica_withi
CRANIATA	Batrachuperus_yenyuanensis
MOLLUSCA	Caliphylla_sp.4
ARTHROPODA	Cryptops_anomalans
MOLLUSCA	Cyerce_aff._antillensis
MOLLUSCA	Chaetopleura_apiculata
ARTHROPODA	Cardisoma_armatum
MOLLUSCA	Carychium_sp.
MOLLUSCA	Cornu_aspersum
MOLLUSCA	Cylindrobulla_beauii
ARTHROPODA	Cryptocellus_becki
PLATYHELMINTHES	Caenoplana_variegata
ARTHROPODA	Cordulegaster_boltonii
MOLLUSCA	Chiroteuthis_calyx
ARTHROPODA	Chaerilus_celebensis
ARTHROPODA	Ceriodaphnia_quadrangula
CRANIATA	Chanos_chanos
Outgroup	Coprinopsis_cinerea
ANNELIDA	Cirratulus_cirratus
ARTHROPODA	Coenobita_clypeatus
ARTHROPODA	Corydalus_cornutus
ANNELIDA	Chaetogaster_diaphanus
CRANIATA	Choloepus_didactylus
ARTHROPODA	Cloeon_dipterum
NEMERTEA	Cephalothrix_hongkongiensis
NEMATODA	Caenorhabditis_elegans
NEMERTEA	Cerebratulus_marginatus
HEMICHORDATA	Cephalodiscus
NEMERTEA	Cerebratulus_sp._BE-2015
NEMERTEA	Cephalothrix_simula
ARTHROPODA	Ctenocephalides_felis
ARTHROPODA	Calanus_finmarchicus
ARTHROPODA	Clinopodes_flavidus
ARTHROPODA	Ceratophyllus_gallinae
ARTHROPODA	Cybella_gelanggi
MOLLUSCA	Magallana_gigas
MOLLUSCA	Cellana_grata
ANNELIDA	Chaetopterus_sp._SL-2014
ARTHROPODA	Chorismus_antarcticus
ECHINODERMATA	Chiridota_heheva
ARTHROPODA	Chiromantes_haematocheir
ARTHROPODA	Cyclestheria_hislopi
CRANIATA	Chiroxiphia_lanceolata
ARTHROPODA	Cryptops_hortensis
UROCHORDATA	Ciona_intestinalis
ARTHROPODA	Charinus_ioanniticus
ARTHROPODA	Charinus_israelensis
ARTHROPODA	Cybister_japonicus
MOLLUSCA	Charonia_lampas
MOLLUSCA	Clione_antarctica
MOLLUSCA	Cryptoplax_larvaeformis
ARTHROPODA	Cimex_lectularius
Outgroup	Corallochytrium_limacisporum
CRANIATA	Clarias_magur
MOLLUSCA	Clithon_retropictum
CRANIATA	Cyclopterus_lumpus
ANNELIDA	Carpetania_elisae
CRANIATA	Callorhinchus_milii
BRYOZOA	Cristatella_mucedo
CRANIATA	Chelonia_mydas
ACOELA	Convoluta_(Praesagittifera)_naikaiensis
MOLLUSCA	Crepidula_navicella
ARTHROPODA	Chrysoperla_nipponensis
MOLLUSCA	Chaetoderma_nitidulum
MOLLUSCA	Costasiella_nonatoi_-_Panderevela_nonatoi
ANNELIDA	Chrysopetalum_occidentale
MOLLUSCA	Costasiella_ocellifera
ANNELIDA	Arenicola_marina
MOLLUSCA	Cocculina_japonica
MOLLUSCA	Chiton_olivaceus_(Rhyssoplax_olivaceus)
ARTHROPODA	Chionoecetes_opilio
MOLLUSCA	Costasiella_sp.1
Outgroup	Capsaspora_owczarzaki
CRANIATA	Chiloscyllium_plagiosum
MOLLUSCA	Cristaria_plicata
CRANIATA	Crocodylus_porosus
ARTHROPODA	Cherax_quadricarinatus
MOLLUSCA	Cellana_radiata
ARTHROPODA	Craspedosoma_sp._AD-2016
Outgroup	Creolimax_fragrantissima
ARTHROPODA	Carcinoscorpius_rotundicauda
MOLLUSCA	Crassostrea_virginica
ARTHROPODA	Cryptocellus_sp._n._RF-2015
ARTHROPODA	Centruroides_sculpturatus
ARTHROPODA	Cryptotermes_secundus
ARTHROPODA	Cacodemonius_sp._MCZ_144363
ARTHROPODA	Ctenochauliodes_similis
KINORHYNCHA	Centroderes_spinosus
ARTHROPODA	Cylindroleberidinae_sp._MS-2016
MOLLUSCA	Chrysomallon_squamiferum
KINORHYNCHA	Cateria_styx
ACOELA	Childia_submaculatum
ARTHROPODA	Craterostigmus_tasmanianus
ANNELIDA	Capitella_teleta
ARTHROPODA	Cyprideis_torosa
MOLLUSCA	Chiton_tuberculatus
MOLLUSCA	Candidula_unifasciata
KINORHYNCHA	Campyloderes_vanhoeffeni
ANNELIDA	Chaetopterus_variopedatus
ARTHROPODA	Chrysis_viridula
ARTHROPODA	Cercopis_vulnerata
ANNELIDA	Cylicobdellidae_sp._DSW-2020
ARTHROPODA	Cylindroiulus_sp._RF-2016
KINORHYNCHA	Cristaphyes_yushini
ARTHROPODA	Damon_sp._Maynooth
ARTHROPODA	Dampetrus_sp._RF-2017
ARTHROPODA	Dermacentor_andersoni
GASTROTRICHA	Diuronotus_aspetos
ROTIFERA	Didymodactylos_carnosus
CRANIATA	Denticeps_clupeoides
CNIDARIA	Dendrophyllia_cribrosa
BRYOZOA	Dendrobeania_fruticosa
ARTHROPODA	Dermanyssus_gallinae
CRANIATA	Dromiciops_gliroides
ANNELIDA	Dimorphilus_gyrociliatus
DICYEMIDA	Dicyemida_sp._4_KMK-2022
DICYEMIDA	Dicyemida_sp._5_KMK-2022
NEMATODA	Diplogasteroides_magnus
ANNELIDA	Delaya_leruthi
ACOELA	Diopisthoporus_longitubus
ARTHROPODA	Daphnia_magna
ARTHROPODA	Drosophila_melanogaster
CRANIATA	Dromaius_novaehollandiae
NEMATODA	Dorylaimopsis_sp._T63
NEMATODA	Diploscapter_pachys
ARTHROPODA	Danaus_plexippus_plexippus
ARTHROPODA	Drosophila_pseudoobscura
ANNELIDA	Drawida_sp._KH-2017
CRANIATA	Danio_rerio
MOLLUSCA	Deroceras_reticulatum
MOLLUSCA	Dreissena_rostriformis
PLATYHELMINTHES	Dugesia_ryukyuensis
ARTHROPODA	Darwinula_stevensoni
ANNELIDA	Diurodrilus_subterraneus
ARTHROPODA	Dinothrombium_tinctorium
PLATYHELMINTHES	Dugesia_japonica
ARTHROPODA	Eurytemora_affinis
ANNELIDA	Eisenia_andrei
ARTHROPODA	Echinogammarus_berilloni
MOLLUSCA	Ercolania_boodleae
NEMATODA	Enoplus_brevis
ARTHROPODA	Ectopsocus_briggsi
ONYCHOPHORA	Epiperipatus_broadwayi
CRANIATA	Eptatretus_burgeri
CRANIATA	Erpetoichthys_calabaricus
PLATYHELMINTHES	Echinoplana_celerrima
MOLLUSCA	Ellobium_chinense
MOLLUSCA	Elysia_chlorotica
CRANIATA	Eleutherodactylus_coqui
MOLLUSCA	Elysia_crispata
ANNELIDA	Enchytraeus_crypticus
CRANIATA	Electrophorus_electricus
CHAETOGNATHA	Eukrohnia_hamata
MOLLUSCA	Elysia_hedgpethi
ARTHROPODA	Cirrula_hians
CRANIATA	Eigenmannia_virescens
ARTHROPODA	Ero_leonina
CRANIATA	Esox_lucius
PORIFERA	Ephydatia_muelleri
CRANIATA	Echeneis_naucrates
ARTHROPODA	Evadne_cf._nordmanni_MCZ_IZ_68046
CRANIATA	Engystomops_pustulosus
MOLLUSCA	Entonomenia_tricarinata
ARTHROPODA	Eocyzicus_sp._MCZ_IZ_50104
KINORHYNCHA	Echinoderes_ohtsukai
MOLLUSCA	Eoacmaea_pustulata
ARTHROPODA	Euphausia_pacifica
ONYCHOPHORA	Epiperipatus_sp._CB-2018_/_Epiperipatus_sp._(Panama)_MCZ-141126
ONYCHOPHORA	Epiperipatus_trinidadensis
ONYCHOPHORA	Euperipatoides_rowelli
MOLLUSCA	Elysia_rufescens
MOLLUSCA	Eubranchus_rustyus
ARTHROPODA	Eosentomon_sakura
ARTHROPODA	Eucyclops_serrulatus
TARDIGRADA	Echiniscoides_sigismundi
ARTHROPODA	Eusergestes_similis
ARTHROPODA	Eriocheir_sinensis
ARTHROPODA	Eudigraphis_taiwanensis
ARTHROPODA	Eudigraphis_takakuwai
TARDIGRADA	Echiniscus_testudo
ARTHROPODA	Eoleptestheria_cf._ticinensis_MCZ_IZ_50108
MOLLUSCA	Elysia_timida
ONYCHOPHORA	Eoperipatus_totoro
NEMATODA	Euchromadora_sp._MIHIF
ARTHROPODA	Eulimnadia_sp._MCZ_IZ_50085
ONYCHOPHORA	Epiperipatus_vagans
MOLLUSCA	Elysia_velutinus
ARTHROPODA	Eukoenenia_zariquieyi
ARTHROPODA	Forficula_auricularia
ARTHROPODA	Folsomia_candida
MOLLUSCA	Falcidens_caudatus
ARTHROPODA	Fenneropenaeus_chinensis
ARTHROPODA	Fumontana_deprehendor
CHAETOGNATHA	Flaccisagitta_hexaptera
KINORHYNCHA	Franciscideres_kalenesos
MOLLUSCA	Fruticicola_(Koreanohadra)_kurodana
ARTHROPODA	Flavoperla_sp._YW-2014
ARTHROPODA	Fissiphallius_martensi
ANNELIDA	Flabegraviera_mundata
MOLLUSCA	Fissurella_natalensis
MOLLUSCA	Falcidens_sagittiferus
BRYOZOA	Fredericella_sultana
ARTHROPODA	Filientomon_takanawanum
MOLLUSCA	Gigantopelta_aegis
ARTHROPODA	Grapsus_albolineatus
ARTHROPODA	Galeodes_sp._JLF-2018
NEMATODA	Gammarinema_sp._T79
ARTHROPODA	Glyptonotus_antarcticus
PLATYHELMINTHES	Geocentrophora_applanata
ARTHROPODA	Gerris_buenoi
ARTHROPODA	Gaetice_depressus
MOLLUSCA	Graptacme_eborea
CRANIATA	Gopherus_evgoodei
ARTHROPODA	Godzilliognomus_frondosus
PLATYHELMINTHES	Girardia_dorotocephala
PLATYHELMINTHES	Girardia_sp._n._ER-2019
ARTHROPODA	Grandidierella_japonica
ARTHROPODA	Gecarcinus_lateralis
ARTHROPODA	Gammarus_locusta
ARTHROPODA	Glomeridesmus_sp._MITS489
ARTHROPODA	Glomeris_maerens
ARTHROPODA	Gyrinus_marinus
ARTHROPODA	Glomeridella_minima
CRANIATA	Gadus_morhua
PLATYHELMINTHES	Gnosonesimida_sp._IV_CEL-2015
ARTHROPODA	Galendromus_occidentalis
NEMATOMORPHA	Gordius_sp._KK-2019
NEMATOMORPHA	Gordionus_montsenyensis
MOLLUSCA	Gymnomenia_pellucida
BRACHIOPODA	Glottidia_pyramidata
PLATYHELMINTHES	Geoplana_quagga
ARTHROPODA	Gryllotalpa_sp._AD-2013
CRANIATA	Geotrypetes_seraphini
MOLLUSCA	Gadila_tolmiei
ANNELIDA	Golfingia_vulgaris
ARTHROPODA	Gymnobisium_sp._MCZ_139238
NEMATODA	Halichoanolaimus_dolichurus
MOLLUSCA	Helluoherpia_aegiri
NEMATODA	Halicephalobus_sp._NKZ332
ARTHROPODA	Halocaridina_rubra
ARTHROPODA	Homarus_americanus
ARTHROPODA	Hanseniella_sp._RF-2016
MOLLUSCA	Haminoea_antillarum
ARTHROPODA	Hyalella_azteca
MOLLUSCA	Hinea_brasiliana
ARTHROPODA	Henia_brevis
ANNELIDA	Hermodice_carunculata
MOLLUSCA	Hermissenda_crassicornis_-_Hermissenda_opalescens
ARTHROPODA	Halotydeus_destructor
ARTHROPODA	Hyalomma_excavatum
TARDIGRADA	Hypsibius_exemplaris
ANNELIDA	Heteromastus_filiformis
ARTHROPODA	Hierodula_formosana
ARTHROPODA	Himantarium_gabrielis
NEMATODA	Halomonhystera_hermesi
ARTHROPODA	Helicorthomorpha_holstii
PLACOZOA	Hoilungia_hongkongensis
NEMERTEA	Hubrechtella_ijimai
ARTHROPODA	Henia_illyrica
ARTHROPODA	Heterocypris_incongruens
ARTHROPODA	Hippolyte_inermis
ANNELIDA	Hypania_invalida
ANNELIDA	Histriobdella_sp._ET-2021
MOLLUSCA	Helix_lucorum
ARTHROPODA	Hutchinsoniella_macracantha
ANNELIDA	Hirudo_medicinalis
NEMATODA	Halicephalobus_mephisto
ACOELA	Hofstenia_miamia
ARTHROPODA	Haploglomeris_multistriata
ARTHROPODA	Hanseniella_nivea
MOLLUSCA	Hydatina_physis
BRACHIOPODA	Hemithiris_psittacea
ARTHROPODA	Halice_quarta
ARTHROPODA	Homalenotus_remyi
CRANIATA	Hynobius_retardatus
ANNELIDA	Helobdella_robusta
ANNELIDA	Hrabeiella_periglandulata
ARTHROPODA	Hypochthonius_rufulus
CRANIATA	Homo_sapiens
PRIAPULIDA	Halicryptus_spinulosus
CRANIATA	Hydromantes_strinatii
ARTHROPODA	Hydroschendyla_submarina
ARTHROPODA	Homalonychus_theologus
ARTHROPODA	Habronattus_ustulatus
CNIDARIA	Hydra_vulgaris
ARTHROPODA	Hydroptila_sp._AD-2013
ARTHROPODA	Ideobisium_crassimanum
PLATYHELMINTHES	Itaspiella_helgolandica
ARTHROPODA	Ischyropsalis_nodifera
ACOELA	Isodiametra_pulchra
MOLLUSCA	Idiosepius_pygmaeus
PLATYHELMINTHES	Issoca_rezendei
ARTHROPODA	Ixodes_scapularis
ARTHROPODA	Ischnura_elegans
ARTHROPODA	Ischnura_senegalensis
ARTHROPODA	Konetontli_acapulco
ARTHROPODA	Kukulcania_hibernalis
CRANIATA	Kryptolebias_marmoratus
ONYCHOPHORA	Kumbadjena_occidentalis
CHAETOGNATHA	Krohnitta_subtilis
MOLLUSCA	Katharina_tunicata
PLATYHELMINTHES	Kontikia_ventrolineata
ANNELIDA	Lacydonia_sp._ET-2021
CTENOPHORA	Lampea_sp._Ct11R
BRACHIOPODA	Lingula_anatina
ARTHROPODA	Lepidurus_apus_apus
BRACHIOPODA	Laqueus_californianus
CRANIATA	Latimeria_chalumnae
ARTHROPODA	Lepidurus_couessii
ARTHROPODA	Lepidurus_cryptus
ARTHROPODA	Lirceus_culveri
ARTHROPODA	Lernaea_cyprinacea
ARTHROPODA	Leptestheria_dahalacensis
ARTHROPODA	Leptotrombidium_deliense
ARTHROPODA	Loxosceles_deserta
ARTHROPODA	Lepicerus_sp._AD-2013
NEMERTEA	Leptonemertes_chalicophora
PLATYHELMINTHES	Luteostriata_ernesti
CRANIATA	Lepidogalaxias_salamandroides
NEMATODA	Levipalatum_texanum
PLATYHELMINTHES	Leptoplana_tremellaris
ARTHROPODA	Ligia_exotica
ANNELIDA	Lepidonotopodium_sp._YZ-2016
MOLLUSCA	Limacus_flavus
MOLLUSCA	Lottia_gigantea
MOLLUSCA	Laevipilina_hyalina
ARTHROPODA	Lightiella_incisa
NEMATODA	Linhomoeidae
ARTHROPODA	Lithobius_niger
ANNELIDA	Laetmonice_cf._iocasica_ET-2021
